participant_id,joe_context,stimulus,condition,univ_judgment,excluded
R_3KrwIEiFNwyLrls,New Maybe 5,new_maybe_5,1cut,-40.0,False
R_3KrwIEiFNwyLrls,New Maybe 6,new_maybe_6,1cut,-38.0,False
R_3KrwIEiFNwyLrls,No A,no_line_A,1cut,45.0,False
R_3KrwIEiFNwyLrls,No B,no_line_B,1cut,41.0,False
R_3KrwIEiFNwyLrls,No C,no_line_C,1cut,35.0,False
R_3KrwIEiFNwyLrls,No D,no_line_D,1cut,32.0,False
R_3KrwIEiFNwyLrls,Yes B,yes_line_B,1cut,-36.0,False
R_3KrwIEiFNwyLrls,Yes C,yes_line_C,1cut,15.0,False
R_3KrwIEiFNwyLrls,Yes D,yes_line_D,1cut,15.0,False
R_3KrwIEiFNwyLrls,Yes E,yes_line_E,1cut,-50.0,False
R_3KrwIEiFNwyLrls,Yes F,yes_line_F,1cut,-28.0,False
R_6rOmpFR4YjwG0BX,No 1,no_line_1,1cut,50.0,False
R_6rOmpFR4YjwG0BX,No 2,no_line_2,1cut,47.0,False
R_6rOmpFR4YjwG0BX,No 3,no_line_3,1cut,50.0,False
R_6rOmpFR4YjwG0BX,Yes 1,yes_line_7,1cut,-30.0,False
R_6rOmpFR4YjwG0BX,Yes 2,yes_line_8,1cut,-50.0,False
R_6rOmpFR4YjwG0BX,Yes 3,yes_line_9,1cut,14.0,False
R_6rOmpFR4YjwG0BX,Yes 4,yes_line_10,1cut,12.0,False
R_6rOmpFR4YjwG0BX,New Yes 7,7esque,1cut,-11.0,False
R_6rOmpFR4YjwG0BX,New Yes 9,9esque,1cut,37.0,False
R_6rOmpFR4YjwG0BX,New Yes 10,10esque,1cut,15.0,False
R_6rOmpFR4YjwG0BX,Maybe 1,maybe_4,1cut,50.0,False
R_6rOmpFR4YjwG0BX,Maybe 2,maybe_5,1cut,50.0,False
R_6rOmpFR4YjwG0BX,Maybe 3,maybe_6,1cut,14.0,False
R_6rOmpFR4YjwG0BX,New Maybe 1,new_maybe_1,1cut,46.0,False
R_6rOmpFR4YjwG0BX,New Maybe 2,new_maybe_2,1cut,32.0,False
R_6rOmpFR4YjwG0BX,New Maybe 3,new_maybe_3,1cut,41.0,False
R_6rOmpFR4YjwG0BX,New Maybe 4,new_maybe_4,1cut,-7.0,False
R_6rOmpFR4YjwG0BX,New Maybe 5,new_maybe_5,1cut,-34.0,False
R_6rOmpFR4YjwG0BX,New Maybe 6,new_maybe_6,1cut,-48.0,False
R_6rOmpFR4YjwG0BX,No A,no_line_A,1cut,50.0,False
R_6rOmpFR4YjwG0BX,No B,no_line_B,1cut,50.0,False
R_6rOmpFR4YjwG0BX,No C,no_line_C,1cut,50.0,False
R_6rOmpFR4YjwG0BX,No D,no_line_D,1cut,45.0,False
R_6rOmpFR4YjwG0BX,Yes B,yes_line_B,1cut,15.0,False
R_6rOmpFR4YjwG0BX,Yes C,yes_line_C,1cut,50.0,False
R_6rOmpFR4YjwG0BX,Yes D,yes_line_D,1cut,41.0,False
R_6rOmpFR4YjwG0BX,Yes E,yes_line_E,1cut,-50.0,False
